Number,Answer,defFlag
1158,1,1
1167,1,0
1189,1,0
1199,1,1
1337,1,1
1388,1,0
1555,1,0
1566,1,0
1599,1,0
2289,1,0
2666,1,0
3357,1,0
3466,1,0
3478,1,1
3577,1,0
3588,1,0
4449,1,0
4466,1,1
4467,1,0
4559,1,0
4679,1,0
5557,1,0
5559,1,0
5679,1,0
5778,1,0
7778,1,0
7779,1,0
7889,1,0
7899,1,0
8888,1,0
8889,1,0
8999,1,0
9999,1,1
1448,10,0
2248,10,0
2368,10,0
3556,10,0
4445,10,0
4469,10,0
5578,10,0
5789,10,0
6668,10,0
0125,104,0
0119,105,0
0248,105,0
0128,108,0
0137,108,0
0146,108,0
1458,108,0
0115,11,0
1133,11,0
1166,11,0
2224,11,0
2235,11,0
3688,11,0
4499,11,0
4799,11,0
5666,11,0
0455,12,0
0555,12,0
0556,12,0
0558,12,0
1115,12,0
1278,12,0
1289,12,0
1446,12,0
1457,12,0
1558,12,0
2446,12,0
2455,12,0
2578,12,0
2667,12,0
2779,12,0
3369,12,0
3448,12,0
4489,12,0
5556,12,0
5589,12,0
1245,123,0
0133,13,0
0247,13,0
2233,13,0
2447,13,0
3358,13,0
3388,13,0
4555,13,0
5567,13,0
0124,14,0
0223,14,0
0225,14,0
0256,14,0
0259,14,0
1379,14,0
1488,14,0
1557,14,0
2244,14,0
2249,14,0
2269,14,0
2277,14,0
2456,14,0
2799,14,0
3459,14,0
3699,14,0
4579,14,0
4599,14,0
2234,15,0
2559,15,0
2788,15,0
3677,15,0
3789,15,0
4566,15,0
0224,16,0
0229,16,0
0267,16,0
0339,16,0
0449,16,0
0488,16,0
0669,16,0
0779,16,0
0889,16,0
0999,16,0
1223,16,0
1233,16,0
2288,16,0
2366,16,0
2389,16,0
2889,16,0
3347,16,0
3578,16,0
4689,16,0
0126,17,0
0135,17,0
0227,17,0
0249,17,0
0568,17,0
0579,17,0
1255,17,0
1345,17,0
2236,17,0
2444,17,0
2449,17,0
4557,17,0
4568,17,0
0139,18,0
0149,18,0
0159,18,0
0169,18,0
0179,18,0
0189,18,0
0199,18,0
0228,18,0
0237,18,0
0246,18,0
0278,18,0
0288,18,0
0337,18,0
0346,18,0
0347,18,0
0357,18,0
0377,18,0
0378,18,0
0466,18,0
0467,18,0
0469,18,0
1124,18,0
1369,18,0
2256,18,0
2379,18,0
2469,18,0
2579,18,0
3356,18,0
3778,18,0
5555,18,0
1228,19,0
1799,19,0
2467,19,0
2478,19,0
2489,19,0
3479,19,0
3668,19,0
4667,19,0
1114,2,0
1116,2,0
1149,2,0
1168,2,0
1277,2,0
1288,2,0
1336,2,0
2222,2,0
2279,2,0
2299,2,0
2477,2,0
3333,2,0
3339,2,0
3366,2,0
3377,2,0
4888,2,0
5889,2,0
6678,2,0
6779,2,0
6788,2,1
6889,2,0
1139,20,0
1157,20,0
1377,20,0
2678,20,0
2689,20,0
2699,20,0
3599,20,0
1344,21,0
1456,21,0
1788,21,0
2344,21,0
2556,21,0
3345,21,0
3348,21,0
3379,21,0
3889,21,0
4457,21,0
4479,21,0
4778,21,0
5667,21,0
5779,21,0
6679,21,0
1118,22,0
1148,22,0
1224,22,0
1246,22,0
1335,22,0
1588,22,0
2247,22,0
3445,22,0
4458,22,0
1577,23,0
2337,23,0
3455,23,0
3468,23,0
1237,24,0
2238,24,0
2488,24,0
2677,24,0
3457,24,0
3589,24,0
4468,24,0
1135,25,0
2359,25,0
0255,26,0
1366,27,0
2568,27,0
3359,27,0
3566,27,0
3567,27,0
4456,27,0
0559,28,0
1225,28,0
2259,28,0
2458,28,0
4678,28,0
0234,29,0
0368,29,0
0446,29,0
0557,29,0
1126,29,0
2239,29,0
2268,29,0
2357,29,0
3446,29,0
1222,3,0
1269,3,0
1347,3,0
2266,3,0
3477,3,0
3555,3,0
6688,3,0
6689,3,0
6799,3,0
1334,30,0
1477,30,0
1688,30,0
2336,30,0
0289,31,0
0118,32,0
0244,32,0
0258,32,0
0334,32,0
1355,32,0
2258,32,0
2468,32,0
4455,32,0
5566,32,0
5577,32,0
5588,32,0
5599,32,0
1244,33,0
0379,34,0
1266,34,0
1268,34,0
2255,34,0
2346,34,0
0238,35,0
0456,35,0
1689,35,0
2888,35,0
3337,35,0
3355,35,0
3777,35,0
4666,35,0
1359,36,0
1467,36,0
1469,36,0
1678,36,0
2466,36,0
3579,36,0
3678,36,0
4446,36,0
4589,36,0
5689,36,0
2459,37,0
2789,37,0
1348,38,0
2347,38,0
2555,38,0
4789,38,0
3568,39,0
1279,4,0
1378,4,0
1445,4,0
1479,4,0
1778,4,0
1888,4,0
2226,4,0
2278,4,0
2334,4,0
2499,4,0
2557,4,0
2777,4,0
3336,4,0
3344,4,0
3349,4,0
4448,4,0
4779,4,0
6669,4,0
0266,40,0
0477,40,0
0688,40,0
0899,40,0
1127,40,0
1136,40,0
1478,40,0
2569,40,0
3489,40,0
2348,41,0
4567,41,0
0355,42,0
1227,42,0
1357,42,0
2225,42,0
1145,43,0
2228,43,0
3458,43,0
3569,43,0
4578,43,0
1256,44,0
1258,44,0
1999,44,0
2378,44,0
3469,44,0
0055,45,0
0268,47,0
2356,47,0
3689,47,0
2479,48,0
5678,48,0
1155,49,0
1579,49,0
1117,5,0
1123,5,0
1556,5,0
2339,5,0
2669,5,0
2999,5,0
3558,5,0
3888,5,0
4447,5,0
4569,5,0
4777,5,0
4788,5,0
4889,5,0
5558,5,0
5669,5,0
5699,5,0
1226,50,0
1899,50,0
2369,50,0
2679,50,0
1238,51,0
1267,51,0
1568,51,0
2457,51,0
2589,51,0
1236,52,0
2349,52,0
2566,52,0
2599,52,0
3447,52,0
3667,52,0
3799,52,0
4699,52,0
1247,53,0
2558,53,0
2588,53,0
2899,53,0
3557,53,0
4556,53,0
0127,54,0
0136,54,0
0145,54,0
0356,54,0
0458,54,0
1156,54,0
1234,54,0
2237,54,0
3788,54,0
4677,54,0
1147,55,0
1249,55,0
2567,55,0
2778,55,0
3346,55,0
0025,56,0
1138,56,0
2577,56,0
1235,57,0
0226,58,0
2335,58,0
2445,58,0
1578,59,0
2338,59,0
1259,6,0
1333,6,0
1447,6,0
1455,6,0
2333,6,0
2388,6,0
2399,6,0
3334,6,0
3449,6,0
3488,6,0
3499,6,0
3559,6,0
4478,6,0
4577,6,0
4669,6,1
5568,6,0
5777,6,0
5888,6,0
5999,6,0
6699,6,0
1229,61,0
1257,61,0
1339,61,0
1449,61,0
1559,61,0
1779,61,0
1889,61,0
4688,61,0
1669,62,0
1119,63,0
1358,63,0
1367,63,0
0155,64,0
2345,64,0
1129,65,0
1368,65,0
1468,65,0
2668,66,0
0235,68,0
1789,69,0
2448,69,0
1134,7,0
1144,7,0
1299,7,0
1346,7,0
1389,7,0
1589,7,0
2227,7,0
2358,7,0
2367,7,0
3335,7,0
3338,7,0
3367,7,0
3399,7,0
5579,7,0
5677,7,0
0138,71,0
0147,71,0
0156,71,0
0239,71,0
0349,71,0
0358,71,0
0459,71,0
0569,71,0
0578,71,0
0679,71,0
0789,71,0
1239,72,0
1349,73,0
1569,73,0
1679,73,0
3456,73,0
1248,74,0
2246,74,0
0019,76,0
0028,76,0
0037,76,0
0046,76,0
1459,78,0
1338,8,0
1466,8,0
1668,8,0
2223,8,0
2245,8,0
2267,8,0
2377,8,0
3368,8,0
3467,8,0
3679,8,0
3899,8,0
5688,8,0
1128,81,0
1137,81,0
1146,81,0
1125,84,0
0245,85,0
0257,85,0
1356,86,0
0129,89,0
0367,89,0
0468,89,0
1489,9,0
1567,9,0
2229,9,0
2355,9,0
2688,9,0
3378,9,0
3389,9,0
3666,9,0
4488,9,0
4588,9,0
4668,9,0
5569,9,0
6789,9,0